type	study.phs_accession	sample.sample_id	file_id	file_name	file_type	file_size	md5sum	experimental_strategy_and_data_subtypes	entityId	file_description	file_url_in_cds	submission_version	checksum_value	checksum_algorithm	crdc_id	file_mapping_level	release_datetime	is_supplementary_file
file	phs002371	HTA9_25_23		0000321988_S2_R2_001.fastq.gz	FASTQ	5608886706	1cedb134bc090b044fc78e9da1d8f985	WXS; RNA-Seq	syn68527579									
file	phs002371	HTA9_26_22		0000321995_S3_R1_001.fastq.gz	FASTQ	5454951268	b37706b40b97d4803a1bbaaeac093b52	WXS; RNA-Seq	syn68527596									
file	phs002371	HTA9_26_22		0000321995_S3_R2_001.fastq.gz	FASTQ	5535999399	45a55f4b4741a824020f80715597dc4d	WXS; RNA-Seq	syn68527615									
file	phs002371	HTA9_40_4		0000322035_S2_R1_001.fastq.gz	FASTQ	5766669292	3433a63aa79f7681984fc00204490365	WXS; RNA-Seq	syn68527642									
file	phs002371	HTA9_40_4		0000322035_S2_R2_001.fastq.gz	FASTQ	5844048948	3e5af00f54391716e766b288c51ec792	WXS; RNA-Seq	syn68527647									
file	phs002371	HTA9_38_5		0000322041_S1_R1_001.fastq.gz	FASTQ	4556182848	d53927bf59483da8a61625a67ae6d1fd	WXS; RNA-Seq	syn68527652									
file	phs002371	HTA9_38_5		0000322041_S1_R2_001.fastq.gz	FASTQ	4610780587	c78d697f588230012d8fce354c2d4571	WXS; RNA-Seq	syn68527668									
file	phs002371	HTA9_26_21		0000340456_S1_R1_001.fastq.gz	FASTQ	7787220225	0837a08f1043879de0f06e4aeaf40107	WXS; RNA-Seq	syn68527678									
file	phs002371	HTA9_26_21		0000340456_S1_R2_001.fastq.gz	FASTQ	7932005517	f3ee6ced0d553581dff79c95a62ecfb0	WXS; RNA-Seq	syn68527708									
file	phs002371	HTA9_38_1		0000340463_S2_R1_001.fastq.gz	FASTQ	3725874509	294da98e74440758ac9a0c5bb4d95a10	WXS; RNA-Seq	syn68527713									
file	phs002371	HTA9_38_1		0000340463_S2_R2_001.fastq.gz	FASTQ	3855395062	96cc9f65e32a61d7f068172523109911	WXS; RNA-Seq	syn68527726									
file	phs002371	HTA9_40_2		0000340469_S1_R1_001.fastq.gz	FASTQ	4423994805	e1e310c50a77dfb83d29cfe103c777c7	WXS; RNA-Seq	syn68527742									
file	phs002371	HTA9_40_2		0000340469_S1_R2_001.fastq.gz	FASTQ	4501887134	e250e52d5aba542e618fafad1b7acee2	WXS; RNA-Seq	syn68527763									
file	phs002371	HTA9_36_1		0000346152_S1_R1_001.fastq.gz	FASTQ	4227149642	cd750982bb886157fea0592f201c0e5d	WXS; RNA-Seq	syn68527776									
file	phs002371	HTA9_36_1		0000346152_S1_R2_001.fastq.gz	FASTQ	4356259081	dd837177e25b59204a859e2e6842d284	WXS; RNA-Seq	syn68527779									
file	phs002371	HTA9_41_1		0000366871_R1.fastq.gz	FASTQ	9745011604	11e9d124ddd5734a66dc39d3ba1167e4	WXS; RNA-Seq	syn68527808									
file	phs002371	HTA9_41_1		0000366871_R2.fastq.gz	FASTQ	9726628324	dcc0adf58eb07f93dffbfb34e2b70ede	WXS; RNA-Seq	syn68527842									
file	phs002371	HTA9_23_1		0000367988_R1.fastq.gz	FASTQ	4941818689	bfd88bc5a506ddd8ef8bb8c24ab9d827	WXS; RNA-Seq	syn68527844									
file	phs002371	HTA9_23_1		0000367988_R2.fastq.gz	FASTQ	4949883766	ec34cedb95cfa9b0a1b8a8523aef0df9	WXS; RNA-Seq	syn68527852									
file	phs002371	HTA9_16_41		0000368070_S1_R1_001.fastq.gz	FASTQ	5268434634	5d7fedd6eca8eb60bf792e5c3ac5770a	WXS; RNA-Seq	syn68527868									
file	phs002371	HTA9_16_41		0000368070_S1_R2_001.fastq.gz	FASTQ	5327774225	bc3fca123a16b15b3c8c883d8c4d9d66	WXS; RNA-Seq	syn68527880									
file	phs002371	HTA9_16_45		0000368112_S1_R1_001.fastq.gz	FASTQ	5385924446	2359616beca57d545a0d3c3f45a2522c	WXS; RNA-Seq	syn68527899									
file	phs002371	HTA9_16_45		0000368112_S1_R2_001.fastq.gz	FASTQ	5453800444	a44ea4189cf7e2e7051057511f45861c	WXS; RNA-Seq	syn68527920									
file	phs002371	HTA9_42_3		0000382610_R1.fastq.gz	FASTQ	6731871035	cebea255d62599c8c501e4aa2e7e67ee	WXS; RNA-Seq	syn68527948									
file	phs002371	HTA9_42_3		0000382610_R2.fastq.gz	FASTQ	6861201564	285df3de07891e72d1776528ae6a7542	WXS; RNA-Seq	syn68527977									
file	phs002371	HTA9_17_41		0000382748_S1_R1_001.fastq.gz	FASTQ	6375432342	ef974176e360abafe32e5388ffcc209c	WXS; RNA-Seq	syn68527999									
file	phs002371	HTA9_17_41		0000382748_S1_R2_001.fastq.gz	FASTQ	6495815193	ed426a866ba210c4993ad2475edfcf06	WXS; RNA-Seq	syn68528004									
